ID	chrom	start	end	num.mark	seg.median.logR	copy.number	call	subclone.status	logR_Copy_Number	Corrected_Copy_Number	Corrected_Call
DummySampleID	1	1000001	70500000	139	-0.0284528315964121	1	HETD	FALSE	1.12691685286375	1	HETD
DummySampleID	1	70500001	248500000	356	-0.00328357391306322	2	NEUT	FALSE	2.01449112253604	2	NEUT
DummySampleID	2	500001	243000000	485	-0.00693792045163498	2	NEUT	FALSE	1.8846605564496	2	NEUT
DummySampleID	3	500001	197500000	394	-0.000956506812109347	2	NEUT	FALSE	2.09733803957064	2	NEUT
DummySampleID	4	500001	190500000	380	0.00137921645908992	2	NEUT	FALSE	2.18062761597396	2	NEUT
DummySampleID	5	1000001	180500000	359	0.000252471632155551	2	NEUT	FALSE	2.14043217741551	2	NEUT
DummySampleID	6	500001	170000000	339	0.00351151972952372	2	NEUT	FALSE	2.25678126809552	2	NEUT
DummySampleID	7	500001	159000000	317	-0.00652819506002257	2	NEUT	FALSE	1.89920079802866	2	NEUT
DummySampleID	8	500001	146000000	291	-0.00733033350275683	2	NEUT	FALSE	1.8707385621316	2	NEUT
DummySampleID	9	500001	141000000	281	-0.00320999646597792	2	NEUT	FALSE	2.01710853960006	2	NEUT
DummySampleID	10	500001	135000000	269	-0.0156517984986044	2	NEUT	FALSE	1.57640022552819	2	NEUT
DummySampleID	11	500001	134500000	268	-0.00177884298541605	2	NEUT	FALSE	2.06804642685506	2	NEUT
DummySampleID	12	500001	133500000	266	-0.00342207263698856	2	NEUT	FALSE	2.00956458194	2	NEUT
DummySampleID	13	19500001	114000000	189	0.0025405859670056	2	NEUT	FALSE	2.22209112126035	2	NEUT
DummySampleID	14	20500001	107000000	173	-0.00231408284558587	2	NEUT	FALSE	2.04899015242827	2	NEUT
DummySampleID	15	24000001	102000000	156	-0.0100267305341783	2	NEUT	FALSE	1.77517837332557	2	NEUT
DummySampleID	16	500001	90000000	179	-0.00293011362804545	2	NEUT	FALSE	2.02706620857822	2	NEUT
DummySampleID	17	500001	81000000	161	-0.00707786187060133	2	NEUT	FALSE	1.87969529316538	2	NEUT
DummySampleID	18	500001	78000000	155	-0.00799685861164748	2	NEUT	FALSE	1.84710032200087	2	NEUT
DummySampleID	19	500001	59000000	117	0.0296675808208408	3	GAIN	FALSE	3.20014209309398	3	GAIN
DummySampleID	20	500001	62500000	124	-0.0145048559410976	2	NEUT	FALSE	1.61686789967639	2	NEUT
DummySampleID	21	15500001	48000000	65	0.00483591377705996	2	NEUT	FALSE	2.30413772950724	2	NEUT
DummySampleID	22	17500001	51000000	67	-0.0307813413924069	1	HETD	FALSE	1.04558361176374	1	HETD
